market,funding_total_usd,status,status_binary,country_code,state_code,region,city,funding_rounds,founded_at,founded_month,founded_quarter,founded_year,first_funding_at,last_funding_at,seed,venture,equity_crowdfunding,undisclosed,convertible_note,debt_financing,angel,grant,private_equity,post_ipo_equity,post_ipo_debt,secondary_market,product_crowdfunding,round_A,round_B,round_C,round_D,round_E,round_F,round_G,round_H,SUM_funding_total_usd
 Advertising ," 50,00,000 ",operating,operating,USA,KY,Louisville,Louisville,2,2/1/08,2,Q1,2008,1/1/07,2/11/07,0,5000000,0,0,0,0,0,0,0,0,0,0,0,5000000,0,0,0,0,0,0,0,10000000
 Software ," 1,60,00,001 ",operating,operating,USA,MA,Boston,Bedford,3,1/1/06,1,Q1,2006,3/24/09,1/16/14,0,16000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16000001
 Analytics ," 2,09,00,000 ",operating,operating,USA,MA,Boston,Lexington,3,9/1/11,9,Q3,2011,9/22/11,12/10/13,0,20900000,0,0,0,0,0,0,0,0,0,0,0,10000000,8500000,0,0,0,0,0,0,39400000
 Enterprise Software ," 1,30,00,000 ",acquired,not_operating,CAN,ON,Ottawa,Ottawa,2,1/1/02,1,Q1,2002,4/20/05,5/24/06,0,13000000,0,0,0,0,0,0,0,0,0,0,0,0,6000000,7000000,0,0,0,0,0,26000000
 Enterprise Software ," 15,53,016 ",operating,operating,USA,CA,SF Bay Area,San Francisco,2,11/5/11,11,Q4,2011,11/5/11,5/1/13,1553016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1553016
 Analytics ," 5,77,64,731 ",operating,operating,USA,CA,SF Bay Area,San Mateo,5,1/1/00,1,Q1,2000,4/27/06,12/22/13,0,57764731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57764731
 E-Commerce ," 42,00,000 ",operating,operating,USA,VA,Richmond,Colonial Heights,1,1/1/84,1,Q1,1984,1/11/11,1/11/11,0,4200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4200000
 High Schools ," 2,00,000 ",operating,operating,USA,CA,Los Angeles,Los Angeles,1,8/1/11,8,Q3,2011,3/1/08,3/1/08,0,0,0,0,0,0,200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200000
 Legal ," 82,31,500 ",operating,operating,USA,DC,"Washington, D.C.",Washington,4,4/1/13,4,Q2,2013,6/1/13,11/19/14,1200000,7000000,0,0,25000,0,0,6500,0,0,0,0,0,7000000,0,0,0,0,0,0,0,15231500
 Advertising ," 1,90,00,000 ",operating,operating,USA,VA,Alexandria,Alexandria,2,1/1/00,1,Q1,2000,4/20/07,3/27/08,0,19000000,0,0,0,0,0,0,0,0,0,0,0,19000000,0,0,0,0,0,0,0,38000000
 Social Media ," 15,00,000 ",operating,operating,USA,WI,Madison,Madison,1,11/11/11,11,Q4,2011,6/2/14,6/2/14,0,1500000,0,0,0,0,0,0,0,0,0,0,0,1500000,0,0,0,0,0,0,0,3000000
 Security ," 1,20,00,000 ",operating,operating,USA,KS,Kansas City,Overland Park,1,1/1/96,1,Q1,1996,1/5/05,1/5/05,0,12000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12000000
 Artificial Intelligence ," 20,00,000 ",operating,operating,USA,MD,"Washington, D.C.",Chevy Chase,1,1/1/12,1,Q1,2012,10/3/14,10/3/14,0,2000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000000
 Automotive ," 1,45,10,00,000 ",acquired,not_operating,USA,CA,Anaheim,Irvine,9,1/1/08,1,Q1,2008,1/14/08,4/2/12,0,151000000,0,0,0,529000000,0,0,771000000,0,0,0,0,0,0,65000000,86000000,0,0,0,0,1602000000
 Loyalty Programs ," 5,09,90,429 ",operating,operating,USA,TX,Austin,Austin,7,1/1/09,1,Q1,2009,6/10/10,4/1/14,0,50178429,0,0,0,812000,0,0,0,0,0,0,0,0,0,5000000,21000000,0,0,0,0,76990429
 Hardware + Software ," 1,25,000 ",operating,operating,USA,NY,New York City,Forest Hills,1,3/1/13,3,Q1,2013,2/20/14,2/20/14,0,0,0,0,0,125000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125000
 Fashion ," 24,00,000 ",operating,operating,USA,NY,New York City,New York,2,5/1/13,5,Q2,2013,1/28/14,6/11/14,2400000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2400000
 Biotechnology ," 22,00,000 ",operating,operating,USA,CO,Denver,Boulder,1,1/1/06,1,Q1,2006,8/8/13,8/8/13,0,2200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2200000
 Hardware ," 6,60,00,000 ",operating,operating,USA,CA,SF Bay Area,San Francisco,4,5/1/07,5,Q2,2007,10/10/08,8/13/13,0,66000000,0,0,0,0,0,0,0,0,0,0,0,2000000,9000000,12000000,43000000,0,0,0,0,132000000
 Technology ,"20,000",operating,operating,USA,IL,Chicago,Chicago,2,7/22/13,7,Q3,2013,7/1/13,8/23/13,5000,15000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20000
 Health and Wellness ," 1,00,000 ",operating,operating,USA,VA,"Washington, D.C.",Vienna,1,10/1/11,10,Q4,2011,6/27/12,6/27/12,0,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100000
 Hardware + Software ," 27,00,000 ",operating,operating,USA,CA,SF Bay Area,Belvedere Tiburon,1,1/1/09,1,Q1,2009,2/9/10,2/9/10,0,2700000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2700000
 Software ," 47,75,000 ",operating,operating,USA,CT,Hartford,Shelton,2,1/1/93,1,Q1,1993,9/12/06,8/13/09,0,4100000,0,0,0,675000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4775000
 Health Care ," 2,00,000 ",operating,operating,USA,PA,Philadelphia,Philadelphia,3,10/10/11,10,Q4,2011,4/4/13,3/6/14,200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200000
 Exercise ," 98,00,000 ",operating,operating,USA,CA,SF Bay Area,San Francisco,2,6/1/13,6,Q2,2013,1/23/14,11/24/14,0,9800000,0,0,0,0,0,0,0,0,0,0,0,9800000,0,0,0,0,0,0,0,19600000
 Health and Wellness ," 74,62,400 ",operating,operating,USA,NY,New York City,New York,4,12/1/12,12,Q4,2012,3/1/13,6/1/14,400000,6512400,0,0,0,0,550000,0,0,0,0,0,0,5000000,0,0,0,0,0,0,0,12462400
 Digital Media ," 14,00,000 ",operating,operating,USA,VA,Roanoke,Blacksburg,2,4/1/13,4,Q2,2013,9/17/13,4/15/14,0,1400000,0,0,0,0,0,0,0,0,0,0,0,1400000,0,0,0,0,0,0,0,2800000
 Curated Web ," 2,50,000 ",operating,operating,USA,NY,New York City,New York,1,10/1/10,10,Q4,2010,9/1/11,9/1/11,250000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250000
 Health and Wellness ," 50,00,000 ",operating,operating,USA,CA,SF Bay Area,San Francisco,2,4/1/12,4,Q2,2012,12/20/12,6/20/13,1000000,4000000,0,0,0,0,0,0,0,0,0,0,0,4000000,0,0,0,0,0,0,0,9000000
 Software ," 20,00,000 ",operating,operating,USA,CA,SF Bay Area,Palo Alto,1,1/1/07,1,Q1,2007,7/22/11,7/22/11,0,2000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000000
 Analytics ," 3,00,000 ",operating,operating,USA,CA,Los Angeles,Santa Monica,1,1/1/12,1,Q1,2012,5/31/13,5/31/13,300000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300000
 Health Care ," 14,55,40,487 ",operating,operating,USA,CA,SF Bay Area,San Francisco,6,1/1/02,1,Q1,2002,2/8/05,3/26/14,0,52499999,0,0,0,0,0,0,10000000,83040488,0,0,0,0,0,0,0,0,0,0,0,145540487
 Electronics ," 1,32,22,860 ",operating,operating,USA,OH,Cleveland,Cleveland,3,1/1/99,1,Q1,1999,11/30/06,11/24/09,0,13222860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13222860
